index;nartist_with_flow;nartist_with_flow_listened;nmidia_regular_listened;nmidia_regular;nmidia_with_flow;nartist_regular_listened;nartist_regular;nmidia_with_flow_listened;nmidia_with_flow_listened_PROP;nmidia_regular_listened_PROP;nmidia_PROP_diff;nartist_with_flow_listened_PROP;nartist_regular_listened_PROP;nartist_PROP_diff
1700;2;0;0;0;2;0;0;0;0.0;;;0.0;;
1705;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1709;0;0;3;3;0;3;3;0;;1.0;;;1.0;
1714;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
1719;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1732;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1734;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1743;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
1747;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1751;0;0;2;2;0;2;2;0;;1.0;;;1.0;
1753;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1754;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1760;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1761;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1764;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1774;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1776;0;0;2;2;0;2;2;0;;1.0;;;1.0;
1777;2;1;2;2;2;2;2;1;0.5;1.0;0.5;0.5;1.0;0.5
1782;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1786;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1787;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1791;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1792;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1809;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1810;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1812;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1820;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1821;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1840;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1842;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1846;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1848;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1850;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1855;0;0;4;5;0;1;1;0;;0.8;;;1.0;
1861;0;0;1;2;0;1;2;0;;0.5;;;0.5;
1866;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1871;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1883;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1886;0;0;1;2;0;1;1;0;;0.5;;;1.0;
1888;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1889;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
1890;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1893;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1902;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1903;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1908;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1909;1;1;0;0;3;0;0;3;1.0;;;1.0;;
1914;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1920;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
1924;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1925;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1928;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1945;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1953;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1958;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1961;0;0;2;3;0;1;1;0;;0.666666666667;;;1.0;
1973;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1984;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1985;1;0;0;0;2;0;0;0;0.0;;;0.0;;
1987;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1990;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1991;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1998;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
2001;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2006;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2017;1;0;3;6;1;2;5;0;0.0;0.5;0.0;0.0;0.4;0.0
2020;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2022;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2033;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2038;1;0;2;2;1;2;2;0;0.0;1.0;0.0;0.0;1.0;0.0
2040;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2041;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2044;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2059;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2067;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2073;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2075;0;0;0;2;0;0;1;0;;0.0;;;0.0;
2078;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2107;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2115;0;0;1;2;0;1;2;0;;0.5;;;0.5;
2118;0;0;2;2;0;1;1;0;;1.0;;;1.0;
2122;2;2;0;0;2;0;0;2;1.0;;;1.0;;
2139;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2149;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2164;1;1;0;0;3;0;0;2;0.666666666667;;;1.0;;
2168;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2175;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2176;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2182;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2184;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2192;0;0;2;2;0;1;1;0;;1.0;;;1.0;
2206;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2212;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2215;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2217;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2221;2;1;0;1;2;0;1;1;0.5;0.0;inf;0.5;0.0;inf
2223;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2226;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2243;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2254;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2258;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2262;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2265;0;0;16;16;0;1;1;0;;1.0;;;1.0;
2267;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2271;0;0;3;3;0;2;2;0;;1.0;;;1.0;
2273;0;0;0;2;0;0;1;0;;0.0;;;0.0;
2280;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2292;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2294;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2298;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2299;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2300;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2308;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2318;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2327;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2328;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2332;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2346;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2354;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2359;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2360;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2380;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2387;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2398;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2399;1;1;0;0;2;0;0;1;0.5;;;1.0;;
2410;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2411;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2415;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2416;0;0;0;2;0;0;1;0;;0.0;;;0.0;
2417;1;1;0;0;2;0;0;2;1.0;;;1.0;;
2429;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2431;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2434;2;2;1;1;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0
2437;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2438;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2443;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2444;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2446;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2455;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2464;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2480;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2494;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2504;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2515;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2527;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2530;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2533;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2537;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2543;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2544;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2546;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2548;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2553;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2568;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2573;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2579;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2584;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2590;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2595;1;0;0;2;1;0;1;0;0.0;0.0;;0.0;0.0;
2606;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2609;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2611;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2615;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2617;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2621;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2630;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2634;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2637;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2638;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2654;2;2;0;0;2;0;0;2;1.0;;;1.0;;
2667;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2670;0;0;2;2;0;2;2;0;;1.0;;;1.0;
2678;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2680;0;0;2;2;0;2;2;0;;1.0;;;1.0;
2686;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2690;0;0;3;3;0;2;2;0;;1.0;;;1.0;
2692;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2719;1;1;3;3;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2731;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2736;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2742;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2745;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2748;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2750;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2769;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2771;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2773;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2784;2;2;0;0;2;0;0;2;1.0;;;1.0;;
2789;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2802;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2805;0;0;1;2;0;1;1;0;;0.5;;;1.0;
2818;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2819;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2823;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2825;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2826;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2832;1;1;12;12;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2833;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2846;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2856;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2861;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2865;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2887;0;0;2;2;0;1;1;0;;1.0;;;1.0;
2909;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2912;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2916;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2920;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2922;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2946;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2949;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2956;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2957;0;0;0;1;0;0;1;0;;0.0;;;0.0;
2961;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2964;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
2975;1;0;0;0;1;0;0;0;0.0;;;0.0;;
2978;1;1;0;0;2;0;0;1;0.5;;;1.0;;
2981;0;0;1;1;0;1;1;0;;1.0;;;1.0;
2985;1;1;0;0;1;0;0;1;1.0;;;1.0;;
2992;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3000;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3002;0;0;3;3;0;1;1;0;;1.0;;;1.0;
3011;1;1;4;4;1;3;3;1;1.0;1.0;1.0;1.0;1.0;1.0
3014;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3022;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3034;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3043;1;1;0;0;2;0;0;1;0.5;;;1.0;;
3045;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3050;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
3065;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3072;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3078;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3087;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
3089;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3126;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3129;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
3135;0;0;3;3;0;1;1;0;;1.0;;;1.0;
3162;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3165;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3170;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3180;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3182;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3190;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3197;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3204;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3205;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3223;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3231;1;0;1;2;1;1;1;0;0.0;0.5;0.0;0.0;1.0;0.0
3237;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3241;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3245;0;0;2;3;0;2;2;0;;0.666666666667;;;1.0;
3246;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3247;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3251;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3255;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3256;0;0;0;2;0;0;1;0;;0.0;;;0.0;
3271;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3290;0;0;1;2;0;1;1;0;;0.5;;;1.0;
3291;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3296;0;0;2;2;0;1;1;0;;1.0;;;1.0;
3302;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3307;0;0;0;2;0;0;1;0;;0.0;;;0.0;
3319;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3321;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3331;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3343;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3348;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3355;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
3367;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3374;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3387;1;1;0;1;2;0;1;2;1.0;0.0;inf;1.0;0.0;inf
3388;1;1;0;1;3;0;1;2;0.666666666667;0.0;inf;1.0;0.0;inf
3393;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3403;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3438;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
3447;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3473;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3492;1;1;0;0;2;0;0;1;0.5;;;1.0;;
3493;0;0;1;2;0;1;1;0;;0.5;;;1.0;
3502;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3504;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3540;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3546;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3549;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3551;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3570;2;1;0;0;2;0;0;1;0.5;;;0.5;;
3575;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3576;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3582;0;0;0;2;0;0;1;0;;0.0;;;0.0;
3591;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3601;0;0;0;2;0;0;1;0;;0.0;;;0.0;
3610;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3611;0;0;2;2;0;1;1;0;;1.0;;;1.0;
3621;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3623;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3637;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3638;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3649;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3662;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3664;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3672;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3685;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3689;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3694;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3700;2;1;0;0;2;0;0;1;0.5;;;0.5;;
3727;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3736;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3759;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3771;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3777;1;0;2;5;1;2;3;0;0.0;0.4;0.0;0.0;0.666666666667;0.0
3783;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3821;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3823;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3827;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3842;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3872;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3886;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3889;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3901;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3916;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3921;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3925;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3933;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3934;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3938;0;0;1;1;0;1;1;0;;1.0;;;1.0;
3941;0;0;0;1;0;0;1;0;;0.0;;;0.0;
3945;1;1;0;0;1;0;0;1;1.0;;;1.0;;
3955;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3960;1;0;0;0;1;0;0;0;0.0;;;0.0;;
3968;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4004;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
4011;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4028;0;0;0;1;0;0;1;0;;0.0;;;0.0;
4042;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4051;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4055;0;0;0;2;0;0;1;0;;0.0;;;0.0;
4082;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4092;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
4097;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4103;0;0;1;3;0;1;2;0;;0.333333333333;;;0.5;
4118;0;0;0;1;0;0;1;0;;0.0;;;0.0;
4126;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4136;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4141;1;0;1;2;2;1;1;0;0.0;0.5;0.0;0.0;1.0;0.0
4146;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4154;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4156;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4160;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4161;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4168;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4174;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4184;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4199;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4206;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4218;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4226;1;1;0;0;2;0;0;2;1.0;;;1.0;;
4260;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4266;1;1;1;2;1;1;2;1;1.0;0.5;2.0;1.0;0.5;2.0
4298;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4312;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4313;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4314;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4344;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4347;1;0;0;0;2;0;0;0;0.0;;;0.0;;
4351;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4356;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4359;0;0;2;2;0;1;1;0;;1.0;;;1.0;
4360;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4362;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4388;0;0;1;2;0;1;1;0;;0.5;;;1.0;
4393;0;0;3;3;0;1;1;0;;1.0;;;1.0;
4395;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4402;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4403;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4405;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4428;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4429;1;1;1;4;3;1;1;2;0.666666666667;0.25;2.66666666667;1.0;1.0;1.0
4431;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4435;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4458;1;1;1;2;1;1;2;1;1.0;0.5;2.0;1.0;0.5;2.0
4459;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4460;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4463;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4480;0;0;0;1;0;0;1;0;;0.0;;;0.0;
4484;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4500;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4501;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4504;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4510;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4522;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4527;0;0;0;1;0;0;1;0;;0.0;;;0.0;
4537;0;0;0;1;0;0;1;0;;0.0;;;0.0;
4539;0;0;1;2;0;1;2;0;;0.5;;;0.5;
4552;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4564;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4568;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4583;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4602;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4603;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
4615;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4622;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4637;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4638;0;0;2;2;0;1;1;0;;1.0;;;1.0;
4645;0;0;1;4;0;1;2;0;;0.25;;;0.5;
4672;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4682;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4694;1;1;0;0;2;0;0;2;1.0;;;1.0;;
4698;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4707;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4720;0;0;2;2;0;1;1;0;;1.0;;;1.0;
4724;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4725;0;0;2;2;0;1;1;0;;1.0;;;1.0;
4726;2;2;0;0;2;0;0;2;1.0;;;1.0;;
4743;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4749;0;0;6;6;0;1;1;0;;1.0;;;1.0;
4753;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4780;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4802;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4810;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4830;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4840;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4855;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4862;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4865;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4884;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4894;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4902;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4912;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4924;1;0;0;0;1;0;0;0;0.0;;;0.0;;
4929;0;0;1;1;0;1;1;0;;1.0;;;1.0;
4939;1;1;0;0;1;0;0;1;1.0;;;1.0;;
4944;1;1;0;0;1;0;0;1;1.0;;;1.0;;
